pair	regulated	score
chr1:3774714-3775214|CEP104	True	0.033691808697987
chr1:3774714-3775214|LRRC47	True	0.102058439048518
chr1:3803570-3805848|LRRC47	False	0.0737595795982898
chr1:3774714-3775214|SMIM1	True	0.341519871587975
chr1:3803570-3805848|SMIM1	False	0.0123714138956274
chr1:4126791-4127291|SMIM1	False	0.0002772669653349
chr1:5304578-5305078|RPL22	False	8.213438124271e-05
chr1:8197448-8198244|PARK7	False	0.0053838854531946
chr1:8899850-8900350|PARK7	False	0.0004026687579375
chr1:8858063-8858563|ENO1	True	0.0152342747165987
chr1:9145155-9145655|ENO1	False	0.0009472511815195
chr1:10387486-10388537|DFFA	False	0.0041922035831422
chr1:11881944-11882444|MAD2L2	False	0.000451995018094
chr1:11882562-11883554|MAD2L2	False	0.0052157031091854
chr1:12014145-12015413|MAD2L2	False	0.0012432488270924
chr1:11882562-11883554|AGTRAP	False	0.0103707948145938
chr1:11882562-11883554|TARDBP	False	0.0017270271340008
chr1:12014145-12015413|SRM	False	0.0006859651569483
chr1:17441310-17441810|SDHB	True	0.0011607634112452
chr1:18534347-18534847|AKR7A2	False	0.0008049487182503
chr1:20197442-20197942|AKR7A2	False	0.0004492303814198
chr1:18534347-18534847|CAPZB	False	0.0004555443468355
chr1:19869923-19870423|CAPZB	False	0.0015414093678164
chr1:19487638-19488138|MRTO4	False	0.0
chr1:20197442-20197942|MRTO4	False	0.0004471552818106
chr1:20216567-20217067|MRTO4	False	0.0002112713987906
chr1:20216567-20217067|HP1BP3	False	0.0002129114113437
chr1:20216567-20217067|MINOS1	False	0.000200089390024
chr1:21673110-21673610|CDC42	False	0.0
chr1:21791423-21792482|CDC42	False	0.0050317637803748
chr1:21963904-21964404|CDC42	False	0.0058262973789166
chr1:21963904-21964404|USP48	False	0.0022800818984151
chr1:23539621-23540248|GALE	False	0.0049274037836171
chr1:23920093-23921311|GALE	False	0.0027722700369146
chr1:23539621-23540248|RPL11	False	0.0144938752653434
chr1:23554642-23555320|RPL11	False	0.0301364890507154
chr1:23562302-23562802|RPL11	False	0.0191697586125769
chr1:23716065-23716565|RPL11	False	0.0122054671931412
chr1:23920093-23921311|RPL11	False	0.0030482945775003
chr1:23716065-23716565|HNRNPR	False	0.0005545076643969
chr1:23920093-23921311|HNRNPR	False	0.0007357708237554
chr1:23920093-23921311|ELOA	False	0.0033326252757611
chr1:23920093-23921311|PITHD1	False	0.0040408250005291
chr1:23920093-23921311|SRRM1	False	0.0006215561029764
chr1:24742119-24742619|TMEM50A	False	0.0
chr1:25933351-25933954|TMEM50A	False	0.0034921051622706
chr1:26138425-26139455|TMEM50A	False	0.0004106733576677
chr1:25933351-25933954|ARID1A	False	0.0012278805323904
chr1:25933351-25933954|HMGN2	False	0.0021992914221707
chr1:26104576-26105524|HMGN2	False	0.0007361147151952
chr1:26138425-26139455|HMGN2	False	0.0006309631915522
chr1:26376717-26377217|HMGN2	False	0.0
chr1:26377523-26378866|HMGN2	False	0.01535890397854
chr1:26500769-26501550|HMGN2	False	0.125979888272019
chr1:26783944-26784444|HMGN2	False	0.0023851818595029
chr1:27026948-27028368|HMGN2	False	0.0013372562014453
chr1:25933351-25933954|MTFR1L	False	0.0097068338301079
chr1:26508328-26508828|MTFR1L	False	7.19018999538169e-05
chr1:25933351-25933954|NUDC	True	0.0012540259625268
chr1:26104576-26105524|NUDC	False	0.0004542175663451
chr1:26138425-26139455|NUDC	False	0.0002575467156738
chr1:26377523-26378866|NUDC	False	0.0035376420913731
chr1:26584065-26584565|NUDC	False	0.0017502373642081
chr1:26636453-26637096|NUDC	False	0.0034789028015284
chr1:26686869-26687369|NUDC	False	0.0028293540972325
chr1:26783944-26784444|NUDC	False	0.005790351407602
chr1:27026948-27028368|NUDC	False	0.0079199130704905
chr1:27523007-27523999|NUDC	False	0.0003647164171393
chr1:25933351-25933954|SH3BGRL3	False	0.0023822540670538
chr1:26377523-26378866|SH3BGRL3	False	0.0089149195861942
chr1:26584065-26584565|SH3BGRL3	False	0.0007913649364208
chr1:27026948-27028368|SH3BGRL3	False	0.0006327743468411
chr1:25933351-25933954|STMN1	True	0.0504016781897084
chr1:26104576-26105524|STMN1	False	0.0014672818316318
chr1:26138425-26139455|STMN1	False	0.0010339473235287
chr1:26376717-26377217|STMN1	False	0.0
chr1:26377523-26378866|STMN1	False	0.0047540688368283
chr1:26508328-26508828|STMN1	False	8.31251375803732e-05
chr1:26584065-26584565|STMN1	False	0.0004252286900931
chr1:26619808-26621780|STMN1	False	0.0064335728028957
chr1:26636453-26637096|STMN1	False	0.0012682931761427
chr1:25933351-25933954|ZNF593	False	0.0043346085340566
chr1:26104576-26105524|ZNF593	False	0.0041398702780309
chr1:26376717-26377217|ZNF593	False	0.0
chr1:26377523-26378866|ZNF593	False	0.0060283849486253
chr1:26500769-26501550|ZNF593	False	0.0074313090876281
chr1:27026948-27028368|ZNF593	False	0.0005262235062416
chr1:27074115-27074615|ZNF593	False	0.0008499973065436
chr1:26377523-26378866|LIN28A	True	0.0549244124703362
chr1:26500769-26501550|WASF2	False	0.0025155044997047
chr1:26508328-26508828|WASF2	False	6.12195105166589e-05
chr1:26584065-26584565|WASF2	False	0.000328854165964
chr1:26636453-26637096|WASF2	False	0.0008952215628814
chr1:27026948-27028368|WASF2	False	0.0015082892121235
chr1:27523007-27523999|WASF2	False	0.0058416854489409
chr1:27869198-27869698|WASF2	False	0.0004692722509396
chr1:28112667-28113483|WASF2	False	0.0008445383509316
chr1:28249311-28250231|WASF2	False	0.0003688624348494
chr1:28345727-28346629|WASF2	False	0.0003305982325189
