pair	regulated	score
chr1:3774714-3775214|CEP104	True	0.0960233648387502
chr1:3774714-3775214|LRRC47	True	0.400644261783259
chr1:3803570-3805848|LRRC47	False	0.246990978287103
chr1:3774714-3775214|SMIM1	True	0.991864257507107
chr1:3803570-3805848|SMIM1	False	0.0946803026573723
chr1:4126791-4127291|SMIM1	False	0.0021572787866572
chr1:5304578-5305078|RPL22	False	0.0002906862782672
chr1:8197448-8198244|PARK7	False	0.0050528077508778
chr1:8899850-8900350|PARK7	False	0.0009715194663321
chr1:8858063-8858563|ENO1	True	0.0104809409421191
chr1:9145155-9145655|ENO1	False	4.6445186536273e-05
chr1:10387486-10388537|DFFA	False	0.0043948181179277
chr1:11881944-11882444|MAD2L2	False	0.0041911258257855
chr1:11882562-11883554|MAD2L2	False	0.0243776920264207
chr1:12014145-12015413|MAD2L2	False	0.0052329265462168
chr1:11882562-11883554|AGTRAP	False	0.0270307688463281
chr1:11882562-11883554|TARDBP	False	0.0045936575628
chr1:12014145-12015413|SRM	False	0.0015669229151182
chr1:17441310-17441810|SDHB	True	0.0018871258653097
chr1:18534347-18534847|AKR7A2	False	0.0012518014539854
chr1:20197442-20197942|AKR7A2	False	0.0004932457588575
chr1:18534347-18534847|CAPZB	False	0.0010954749240902
chr1:19869923-19870423|CAPZB	False	0.002772270427301
chr1:19487638-19488138|MRTO4	False	0.0002609602427823
chr1:20197442-20197942|MRTO4	False	0.0001395172259689
chr1:20216567-20217067|MRTO4	False	3.70059250170457e-05
chr1:20216567-20217067|HP1BP3	False	9.60969085555942e-05
chr1:20216567-20217067|MINOS1	False	0.0002109332745744
chr1:21673110-21673610|CDC42	False	0.0003828939652719
chr1:21791423-21792482|CDC42	False	0.0041762519282393
chr1:21963904-21964404|CDC42	False	0.0011247042760136
chr1:21963904-21964404|USP48	False	0.0056214599599961
chr1:23539621-23540248|GALE	False	0.0020252095230985
chr1:23920093-23921311|GALE	False	0.0180085071645273
chr1:23539621-23540248|RPL11	False	0.0026362101267927
chr1:23554642-23555320|RPL11	False	0.0057809305465343
